lat,lon,river_distance
20.8545788,72.2868814,60354.83419471007
21.1045788,71.5368814,132764.45755163088
21.1045788,71.7868814,104961.49279087027
21.1045788,72.0368814,77177.9267511522
21.1045788,72.2868814,49446.47019893041
21.3545788,71.5368814,134936.6290688265
21.3545788,71.7868814,107695.90356353944
21.3545788,72.0368814,80857.43659729444
21.3545788,72.2868814,55013.144707542284
21.6045788,71.5368814,143449.3357531816
21.6045788,71.7868814,118187.24849973507
21.6045788,72.0368814,94380.84083465475
21.6045788,72.2868814,71677.64277723726
20.9563995,72.9757224,33801.92127624994
20.9563995,73.2257224,32572.89205138334
20.9563995,73.4757224,37870.68591000823
20.9563995,73.7257224,34875.50637155879
21.2063995,72.9757224,9768.966614744
21.2063995,73.2257224,3624.047605292568
21.2063995,73.4757224,8158.7643410894925
21.2063995,73.7257224,6151.645190093485
21.4563995,72.9757224,17900.92671564455
21.4563995,73.2257224,25333.955176810698
21.4563995,73.4757224,21649.361545138203
21.4563995,73.7257224,13290.558866267489
21.7063995,72.9757224,18272.099610302084
21.7063995,73.2257224,11233.645686814454
21.7063995,73.4757224,26281.441772124443
21.7063995,73.7257224,15799.48519937806
21.0236104,71.3219597,157290.39161835157
21.0236104,71.5719597,129611.4312185624
21.0236104,71.8219597,102014.61923863196
21.0236104,72.0719597,74591.18984901177
21.2736104,71.3219597,157303.92397539635
21.2736104,71.5719597,129627.85312241735
21.2736104,71.8219597,102035.48275480414
21.2736104,72.0719597,74619.72129198948
21.5236104,71.3219597,162893.04839760158
21.5236104,71.5719597,136356.15506215
21.5236104,71.8219597,110457.50521902995
21.5236104,72.0719597,85777.17367633586
21.7736104,71.3219597,173546.3629650493
21.7736104,71.5719597,148920.09906478834
21.7736104,71.8219597,125638.59017573105
21.7736104,72.0719597,102985.03926504312
21.1271369,73.0898076,14361.171461506941
21.1271369,73.3398076,14787.735956256243
21.1271369,73.5898076,15128.98437066519
21.1271369,73.8398076,21444.422834006702
21.3771369,73.0898076,10176.5928821483
21.3771369,73.3398076,12018.95910036647
21.3771369,73.5898076,13928.954226828153
21.3771369,73.8398076,2548.3239865702153
21.6271369,73.0898076,15873.718647396794
21.6271369,73.3398076,26954.56746053894
21.6271369,73.5898076,29217.538239804504
21.6271369,73.8398076,21114.082128617898
21.8771369,73.0898076,6520.634162318218
21.8771369,73.3398076,1097.464587423642
21.8771369,73.5898076,4607.11765075209
21.8771369,73.8398076,3605.846805148911
21.1395746,72.8661964,9144.734227802355
21.1395746,73.1161964,11891.569677358231
21.1395746,73.3661964,14414.056111950977
21.1395746,73.6161964,13142.534609248245
21.3895746,72.8661964,15056.116507365517
21.3895746,73.1161964,12504.856107236585
21.3895746,73.3661964,13168.97802300653
21.3895746,73.6161964,14331.93814188677
21.6395746,72.8661964,32573.032889185964
21.6395746,73.1161964,13791.408027327352
21.6395746,73.3661964,27327.673089609958
21.6395746,73.6161964,26713.981821379926
21.8895746,72.8661964,30545.267541205023
21.8895746,73.1161964,5690.638459346162
21.8895746,73.3661964,2280.543349578457
21.8895746,73.6161964,2180.6555291145733
21.1029751,69.3538067,371874.4257177414
21.1029751,69.6038067,347893.4962561144
21.1029751,69.8538067,320067.2423366302
21.1029751,70.1038067,292241.677598278
21.3529751,69.3538067,344689.00979345373
21.3529751,69.6038067,348711.82253971754
21.3529751,69.8538067,320956.5236268668
21.3529751,70.1038067,293215.36209265067
21.6029751,69.3538067,317937.8450742659
21.6029751,69.6038067,331806.1273450642
21.6029751,69.8538067,324609.62251202157
21.6029751,70.1038067,297209.63230669
21.8529751,69.3538067,291755.4448884768
21.8529751,69.6038067,306809.5051254672
21.8529751,69.8538067,323561.2907586511
21.8529751,70.1038067,304120.73483945226
21.224718,70.8899959,204878.44069916414
21.224718,71.1399959,177080.708422837
21.224718,71.3899959,149294.95221391748
21.224718,71.6399959,121529.38676051548
21.474718,70.8899959,208362.4604094863
21.474718,71.1399959,181100.29469911868
21.474718,71.3899959,154041.30030978614
21.474718,71.6399959,127315.0866588904
21.724718,70.8899959,215980.11927451138
21.724718,71.1399959,189815.2094908231
21.724718,71.3899959,164198.7186766911
21.724718,71.6399959,139433.23959837624
21.974718,70.8899959,227336.82926113583
21.974718,71.1399959,200099.1704266663
21.974718,71.3899959,172811.42295485124
21.974718,71.6399959,145728.8627236549
21.220494,71.4605587,141423.7901209345
21.220494,71.7105587,113658.7244123266
21.220494,71.9605587,85935.59499249121
21.220494,72.2105587,58314.24326182197
21.470494,71.4605587,146322.30441805726
21.470494,71.7105587,119698.93062629129
21.470494,71.9605587,93778.7547622273
21.470494,72.2105587,69354.73542044146
21.720494,71.4605587,156883.22442112034
21.720494,71.7105587,132400.76785137874
21.720494,71.9605587,109528.9193743413
21.720494,72.2105587,87015.93811100426
21.970494,71.4605587,165255.04193604604
21.970494,71.7105587,138273.46291089177
21.970494,71.9605587,111708.88878806554
21.970494,72.2105587,85948.84962562453
21.209301,72.0893963,71531.84976972204
21.209301,72.3393963,43939.84127954868
21.209301,72.5893963,17135.267744473116
21.209301,72.8393963,2956.848155007265
21.459301,72.0893963,80288.80032291567
21.459301,72.3393963,57098.12236393479
21.459301,72.5893963,34886.756487050094
21.459301,72.8393963,23854.096233158667
21.709301,72.0893963,96840.62017680923
21.709301,72.3393963,75754.9025416028
21.709301,72.5893963,60402.884291690956
21.709301,72.8393963,32976.95132150122
21.959301,72.0893963,98806.57776150756
21.959301,72.3393963,73955.04287303929
21.959301,72.5893963,52201.15470537226
21.959301,72.8393963,35818.49843298164
21.2080427,72.4956936,26898.993239347634
21.2080427,72.7456936,5479.483553648232
21.2080427,72.9956936,10770.462574193714
21.2080427,73.2456936,4327.182739240426
21.4580427,72.4956936,42560.12503671962
21.4580427,72.7456936,26109.216451003464
21.4580427,72.9956936,17924.674900917664
21.4580427,73.2456936,24622.395033414854
21.7080427,72.4956936,65067.26672831318
21.7080427,72.7456936,43322.38611973354
21.7080427,72.9956936,16105.666858493445
21.7080427,73.2456936,12689.030528391508
21.9580427,72.4956936,59864.120676713435
21.9580427,72.7456936,42517.59012584912
21.9580427,72.9956936,20786.160398062566
21.9580427,73.2456936,2340.4385880700115
21.2346125,70.7004615,226009.16136274475
21.2346125,70.9504615,198212.47427588262
21.2346125,71.2004615,170426.61918272288
21.2346125,71.4504615,142657.92555041402
21.4846125,70.7004615,229326.53272951892
21.4846125,70.9504615,201986.88708037298
21.4846125,71.2004615,174802.03122362387
21.4846125,71.4504615,147857.368149847
21.7346125,70.7004615,236419.75553050736
21.7346125,70.9504615,210005.58264908363
21.7346125,71.2004615,184009.21800623607
21.7346125,71.4504615,158636.19860410527
21.9846125,70.7004615,246982.67709151297
21.9846125,70.9504615,220683.9289087751
21.9846125,71.2004615,193264.45219780353
21.9846125,71.4504615,165981.63789055118
21.2220402,69.9443401,310069.6744297743
21.2220402,70.1943401,282252.20596123114
21.2220402,70.4443401,254437.45040340553
21.2220402,70.6943401,226626.40665729766
21.4720402,69.9443401,312352.0287397156
21.4720402,70.1943401,284757.60679358704
21.4720402,70.4443401,257213.92463203726
21.4720402,70.6943401,229739.232720989
21.7220402,69.9443401,317453.9888010628
21.7220402,70.1943401,290344.8635238797
