lat,lon,elevation
23.4952165,72.2466223,66
23.4952165,72.4966223,100
23.4952165,72.7466223,117
22.1153934,70.4495617,0
22.1153934,70.6995617,0
22.1153934,70.9495617,0
22.1153934,71.1995617,0
22.3653934,70.4495617,0
22.3653934,70.6995617,0
22.3653934,70.9495617,0
22.3653934,71.1995617,0
22.6153934,70.4495617,0
22.6153934,70.6995617,0
22.6153934,70.9495617,0
22.6153934,71.1995617,0
22.8653934,70.4495617,0
22.8653934,70.6995617,0
22.8653934,70.9495617,0
22.8653934,71.1995617,0
22.1562177,70.2486911,0
22.1562177,70.4986911,0
22.1562177,70.7486911,0
22.1562177,70.9986911,0
22.4062177,70.2486911,0
22.4062177,70.4986911,0
22.4062177,70.7486911,0
22.4062177,70.9986911,0
22.6562177,70.2486911,0
22.6562177,70.4986911,0
22.6562177,70.7486911,0
22.6562177,70.9986911,0
22.9062177,70.2486911,0
22.9062177,70.4986911,0
22.9062177,70.7486911,0
22.9062177,70.9986911,0
22.1925104,69.8054102,0
22.1925104,70.0554102,0
22.1925104,70.3054102,0
22.1925104,70.5554102,0
22.4425104,69.8054102,0
22.4425104,70.0554102,0
22.4425104,70.3054102,0
22.4425104,70.5554102,0
22.6925104,69.8054102,0
22.6925104,70.0554102,0
22.6925104,70.3054102,0
22.6925104,70.5554102,0
22.9425104,69.8054102,0
22.9425104,70.0554102,0
22.9425104,70.3054102,0
22.9425104,70.5554102,0
22.1895535,72.3713603,0
22.1895535,72.6213603,12
22.1895535,72.8713603,19
22.1895535,73.1213603,22
22.4395535,72.3713603,7
22.4395535,72.6213603,15
22.4395535,72.8713603,41
22.4395535,73.1213603,41
22.6895535,72.3713603,15
22.6895535,72.6213603,23
22.6895535,72.8713603,37
22.6895535,73.1213603,55
22.9395535,72.3713603,30
22.9395535,72.6213603,42
22.9395535,72.8713603,41
22.9395535,73.1213603,82
22.210552,71.1784206,0
22.210552,71.4284206,0
22.210552,71.6784206,0
22.210552,71.9284206,0
22.460552,71.1784206,0
22.460552,71.4284206,0
22.460552,71.6784206,0
22.460552,71.9284206,0
22.710552,71.1784206,0
22.710552,71.4284206,0
22.710552,71.6784206,0
22.710552,71.9284206,0
22.960552,71.1784206,0
22.960552,71.4284206,0
22.960552,71.6784206,0
22.960552,71.9284206,0
22.226607,71.9411863,0
22.226607,72.1911863,2
22.226607,72.4411863,-5
22.226607,72.6911863,-1
22.476607,71.9411863,0
22.476607,72.1911863,6
22.476607,72.4411863,8
22.476607,72.6911863,23
22.726607,71.9411863,0
22.726607,72.1911863,9
22.726607,72.4411863,28
22.726607,72.6911863,24
22.976607,71.9411863,0
22.976607,72.1911863,23
22.976607,72.4411863,36
22.976607,72.6911863,48
22.3532503,72.4953586,5
22.3532503,72.7453586,19
22.3532503,72.9953586,35
22.3532503,73.2453586,45
22.6032503,72.4953586,8
22.6032503,72.7453586,28
22.6032503,72.9953586,44
22.6032503,73.2453586,53
22.8532503,72.4953586,26
22.8532503,72.7453586,34
22.8532503,72.9953586,55
22.8532503,73.2453586,65
23.1032503,72.4953586,53
23.1032503,72.7453586,59
23.1032503,72.9953586,77
23.1032503,73.2453586,111
22.3201982,72.4386868,5
22.3201982,72.6886868,17
22.3201982,72.9386868,20
22.3201982,73.1886868,39
22.5701982,72.4386868,13
22.5701982,72.6886868,26
22.5701982,72.9386868,39
22.5701982,73.1886868,49
22.8201982,72.4386868,32
22.8201982,72.6886868,24
22.8201982,72.9386868,47
22.8201982,73.1886868,59
23.0701982,72.4386868,43
23.0701982,72.6886868,59
23.0701982,72.9386868,71
23.0701982,73.1886868,101
22.3003959,70.386232,0
22.3003959,70.636232,0
22.3003959,70.886232,0
22.3003959,71.136232,0
22.5503959,70.386232,0
22.5503959,70.636232,0
22.5503959,70.886232,0
22.5503959,71.136232,0
22.8003959,70.386232,0
22.8003959,70.636232,0
22.8003959,70.886232,0
22.8003959,71.136232,0
23.0503959,70.386232,0
23.0503959,70.636232,0
23.0503959,70.886232,0
23.0503959,71.136232,0
22.3278859,71.8684741,0
22.3278859,72.1184741,6
22.3278859,72.3684741,6
22.3278859,72.6184741,20
22.5778859,71.8684741,0
22.5778859,72.1184741,10
22.5778859,72.3684741,13
22.5778859,72.6184741,18
22.8278859,71.8684741,0
22.8278859,72.1184741,10
22.8278859,72.3684741,27
22.8278859,72.6184741,33
23.0778859,71.8684741,0
23.0778859,72.1184741,29
23.0778859,72.3684741,44
23.0778859,72.6184741,56
22.4194099,73.6342725,118
22.4194099,73.8842725,131
22.4194099,74.1342725,203
22.4194099,74.3842725,353
22.6694099,73.6342725,130
22.6694099,73.8842725,189
22.6694099,74.1342725,299
22.6694099,74.3842725,429
22.9194099,73.6342725,130
22.9194099,73.8842725,213
22.9194099,74.1342725,315
22.9194099,74.3842725,267
